name,mfr,temp,calories,protein,fat,sodium,fiber,carbo,sugars,potassium,vitamins,shelf,weight,cups,rating
Smacks,K,C,110,2,1,0.07,1,9,15,0.04,25,2,1,0.75,31.230054
Special K,K,C,110,6,0,0.23,1,16,3,0.055,25,1,1,1,53.131324
Strawberry Fruit Wheats,N,C,90,2,0,0.015,3,15,5,0.09,25,2,1,1,59.363993
Total Corn Flakes,G,C,110,2,1,0.2,0,21,3,0.035,100,3,1,1,38.839746
Total Raisin Bran,G,C,140,3,1,0.19,4,15,14,0.23,100,3,1.5,1,28.592785
Total Whole Grain,G,C,100,3,1,0.2,3,16,3,0.11,100,3,1,1,46.658844
Triples,G,C,110,2,1,0.25,0,21,3,0.06,25,3,1,0.75,39.106174
Trix,G,C,110,1,1,0.14,0,13,12,0.025,25,2,1,1,27.753301
Wheat Chex,R,C,100,3,1,0.23,3,17,3,0.115,25,1,1,0.67,49.787445
Wheaties,G,C,100,3,1,0.2,3,17,3,0.11,25,1,1,1,51.592193
Wheaties Honey Gold,G,C,110,2,1,0.2,1,16,8,0.06,25,1,1,0.75,36.187559
